"selection1_name","selection1_url"
"Java 17 Masterclass: Start Coding in 2024
Acquire Key <strong>Java</strong> Skills: From Basics to Advanced Programming and Certification - Start Your Dev CareerRating: 4.6 out of 5201323 reviews135.5 total hours735 lecturesAll LevelsCurrent price: $149.99","https://www.udemy.com/course/java-the-complete-java-developer-course/"
"Java Programming for Complete Beginners
<strong>Java</strong> Programming for Beginners to <strong>Java</strong> Object Oriented Programming. Core <strong>Java</strong> + REST API with Spring Boot. <strong>Java</strong> 8 to 16.Rating: 4.5 out of 546994 reviews42 total hours524 lecturesBeginnerCurrent price: $119.99","https://www.udemy.com/course/java-programming-tutorial-for-beginners/"
"FULL STACK JAVA DEV: JAVA + JSP + SPRING + BOOT + JS + REACT
Full Stack <strong>Java</strong>, JSP, Hibernate, Spring, Web-services/RestFul API, Spring boot Backend, JavaScript, React frontend.Rating: 4.3 out of 510772 reviews83.5 total hours711 lecturesAll LevelsCurrent price: $149.99","https://www.udemy.com/course/full-stack-java-developer-java/"
"Learn JAVA Programming - Beginner to Master
Deep Dive in Core <strong>Java</strong> programming -Standard Edition. A Practical approach to learn <strong>Java</strong>. Become a <strong>Java</strong> ExpertRating: 4.6 out of 523387 reviews61.5 total hours333 lecturesAll LevelsCurrent price: $109.99","https://www.udemy.com/course/java-se-programming/"
"The Complete Java Development Bootcamp
Become an Experienced <strong>Java</strong> <strong>Developer</strong> with Just One Course. Fully Updated with 100+ Coding Challenges!Rating: 4.7 out of 58785 reviews27 total hours393 lecturesAll LevelsCurrent price: $119.99","https://www.udemy.com/course/the-complete-java-development-bootcamp/"
"The Complete Java Developer Course -Mastering Java from zero
Learn <strong>Java</strong> from Zero to Hero. Become a Computer Programmer and start building complex projects. Earn <strong>Java</strong> CertificationRating: 4.4 out of 5433 reviews59.5 total hours403 lecturesAll LevelsCurrent price: $74.99","https://www.udemy.com/course/the-complete-java-developer-course-mastering-java-from-zero/"
"Java Programming: A Comprehensive Bootcamp from Zero to Hero
Become a <strong>Java</strong> <strong>developer</strong> - Core <strong>Java</strong>, Functional Programming, Lambdas, Streams, Collections, Covers upto <strong>Java</strong> 23Rating: 4.6 out of 5408 reviews66.5 total hours533 lecturesBeginnerCurrent price: $79.99","https://www.udemy.com/course/java-programming-a-comprehensive-bootcamp-from-zero-to-hero/"
"[NEW] Master Spring Boot 3 & Spring Framework 6 with Java
Become <strong>Java</strong> Spring Boot Full Stack <strong>Developer</strong>. Learn Spring Framework, Spring Boot, Spring Data, Docker &amp; AWSRating: 4.5 out of 58598 reviews39 total hours423 lecturesAll LevelsCurrent price: $99.99","https://www.udemy.com/course/spring-boot-and-spring-framework-tutorial-for-beginners/"
"The Complete Java Developer Course: From Beginner to Master!
Master theory AND practice, and get comfortable with one of the world's most popular programming languages!Rating: 4.6 out of 5314 reviews10.5 total hours71 lecturesBeginnerCurrent price: $84.99","https://www.udemy.com/course/the-complete-java-developer-course-from-beginner-to-master/"
"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners
Spring Boot 3: Learn Spring 6, Spring Core, Spring REST, Spring MVC, Spring Security, Thymeleaf, JPA, Hibernate, MySQLRating: 4.6 out of 585273 reviews33.5 total hours396 lecturesAll LevelsCurrent price: $119.99","https://www.udemy.com/course/spring-hibernate-tutorial/"
"Java Multithreading, Concurrency & Performance Optimization
Become an expert in Multithreading, Concurrency & Parallel programming in <strong>Java</strong>, with strong emphasis on high performanceRating: 4.7 out of 511862 reviews5.5 total hours40 lecturesAll LevelsCurrent price: $139.99","https://www.udemy.com/course/java-multithreading-concurrency-performance-optimization/"
"AWS Cloud Architecture For Java Spring Boot Developers
Design, Deploy, Secure Applications with VPC. Subnets, Auto Scaling, Load Balancing, ECS Fargate, CI/CD PipelinesRating: 4.6 out of 527 reviews11 total hours162 lecturesAll LevelsCurrent price: $49.99","https://www.udemy.com/course/aws-java/"
"The Complete Java Certification Course
Become a confident industry ready core <strong>Java</strong> <strong>developer</strong> and get certified as a <strong>Java</strong> professional!Rating: 4.4 out of 529051 reviews17.5 total hours65 lecturesAll LevelsCurrent price: $174.99","https://www.udemy.com/course/master-practical-java-development/"
"Advanced Java Topics: Java Reflection - Master Class
Create Powerful <strong>Java</strong> Applications, Algorithms and Libraries using <strong>Java</strong> Reflection API, Take Full Advantage of the JVMRating: 4.7 out of 5892 reviews5 total hours37 lecturesAll LevelsCurrent price: $89.99","https://www.udemy.com/course/java-reflection-master-class/"
"Java Certification Exam Prep: OCA (1Z0-808) & OCP (1Z0-829)
Everything you need to know to pass Oracle exams (808, 811, 829) and become fully certifed <strong>Java</strong> Programmer/<strong>Developer</strong>.Rating: 4.6 out of 5576 reviews20.5 total hours105 lecturesBeginnerCurrent price: $84.99","https://www.udemy.com/course/java-certification-exam-prep-oca-1z0-808-ocp-1z0-829/"
"Full Stack: React and Java Spring Boot - The Developer Guide
Build a Full Stack App - React and <strong>Java</strong> Spring Boot, Stripe Credit Card Payments, Spring Security, JWT, Spring Data JPARating: 4.5 out of 52194 reviews26.5 total hours319 lecturesIntermediateCurrent price: $94.99","https://www.udemy.com/course/full-stack-react-and-java-spring-boot-the-developer-guide/"
"Java In-Depth: Become a Complete Java Engineer!
Comprehensive <strong>Java</strong> programming course integrated with best practices, design rules, and instructor-led <strong>Java</strong> EE projectRating: 4.5 out of 523284 reviews73 total hours399 lecturesAll LevelsCurrent price: $129.99","https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/"
"Java Foundations: The Complete Course with Java 21 Updates
Covers <strong>Java</strong> 21 & Earlier, Streams/Lambdas, Regex, TDD/Testing, Optionals, JDBC/SQL Intro to Spring & More Using IntelliJRating: 4.7 out of 52178 reviews90 total hours269 lecturesBeginnerCurrent price: $119.99","https://www.udemy.com/course/neutrino-java-foundations/"
"Java Essentials - Refresher for software developers
Get a complete conceptual overview of essential <strong>Java</strong> knowledgeRating: 4.6 out of 5147 reviews6 total hours85 lecturesBeginnerCurrent price: $54.99","https://www.udemy.com/course/java-essentials/"
"Java Enterprise Edition 8 for Beginners course
Understand Jakarta EE, JPA, CDI, JAX-RS, REST, JWT, JSON-P and JSON-B and more. Add ""JEE <strong>Developer</strong>"" to your résumé!Rating: 4.5 out of 53257 reviews30 total hours386 lecturesAll LevelsCurrent price: $79.99","https://www.udemy.com/course/java-enterprise-edition-8/"
