Title,Title_URL,,,,,,,,,,,,,
"Operations Management A-Z: Business Processes and Systems
<strong>Operations</strong> Management: Supply Chain &amp; Business Essentials for Manufacturing, Production and Service OrganizationsRating: 4.6 out of 57342 reviews6.5 total hours117 lecturesAll LevelsCurrent price: ₹549Original price: ₹3,499",https://www.udemy.com/course/operations-management-a-z/,,,,,,,,,,,,,
"Certified Facility Manager (CFM) Essential Training
Mastery in CFM: Strategies, <strong>Operations</strong>, &amp; Technological Advancements, Facility Management in Focus. CFM Exam Prep.Rating: 4.3 out of 5303 reviews1.5 total hours28 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,299",https://www.udemy.com/course/certified-facility-manager-cfm-essential-training-2023/,,,,,,,,,,,,,
"Be a Great IT Operations Manager: Strategies and Techniques
Navigating the Digital Landscape: Essential Skills for IT <strong>Operations</strong> ExcellenceRating: 4.6 out of 518 reviews10.5 total hours70 lecturesAll LevelsCurrent price: ₹499Original price: ₹2,899",https://www.udemy.com/course/itopsmanager/,,,,,,,,,,,,,
"Supply Chain Management A-Z:   Operations & Logistics BasicsSupply Chain Management Basics: An MBA style course to boost your career as a business <strong>operations</strong> & logistics <strong>manager</strong>Rating: 4.5 out of 52826 reviews3.5 total hours85 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,999",https://www.udemy.com/course/supply-chain-management-a-z/,,,,,,,,,,,,,
"New Manager: The Basics and More of Being a Great Leader
Go from a slightly uncertain, confused newbie to a confident, skilled <strong>manager</strong> who builds and leads effective teams.Rating: 4.6 out of 515297 reviews8 total hours155 lecturesBeginnerCurrent price: ₹499Original price: ₹3,299",https://www.udemy.com/course/new-manager/,,,,,,,,,,,,,
"Operations Management in small businesses: key techniques
A toolkit for making small business <strong>operations</strong> effective and efficientRating: 4.6 out of 52817 reviews7 total hours66 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,999",https://www.udemy.com/course/operations-management-in-small-businesses-key-techniques/,,,,,,,,,,,,,
"Executive Diploma in Operations Management
MTF Institute Executive Program in <strong>Operations</strong> Management, <strong>Operation</strong> Leadership, Management Skills, Process BuildingRating: 4.3 out of 5711 reviews4 total hours26 lecturesAll LevelsCurrent price: ₹549Original price: ₹799",https://www.udemy.com/course/operations_management/,,,,,,,,,,,,,
"Operations Management Professional
Critical Skills to Lead Successful <strong>Operations</strong>Rating: 4.6 out of 515 reviews35 total hours314 lecturesAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/operations-management-business/,,,,,,,,,,,,,
"Certificate in Business & Operations Management Excellence
Executive Program: Business Management, Business Process Simplification, <strong>Operations</strong> Management, Operational LeadershipRating: 4.5 out of 530 reviews5 total hours48 lecturesAll LevelsCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/certificate-in-business-and-operations-management-excellence/,,,,,,,,,,,,,
"Operations Management: Operations and the Organization
<strong>Operations</strong> Management Training Program (Course 1 of 8)Rating: 4.4 out of 5191 reviews2 total hours28 lecturesIntermediateCurrent price: ₹549Original price: ₹1,799",https://www.udemy.com/course/operations-management-and-the-organization/,,,,,,,,,,,,,
"The Operations Management Training Program
Turning Ordinary Businesses into Operational TitansRating: 4.3 out of 5860 reviews14 total hours193 lecturesIntermediateCurrent price: ₹499Original price: ₹2,499",https://www.udemy.com/course/the-operations-management-training-program/,,,,,,,,,,,,,
"Operations Management Fundamentals
Achieve Operational Success in Any IndustryRating: 4.5 out of 57 reviews2 total hours17 lecturesBeginnerCurrent price: ₹499Original price: ₹1,799",https://www.udemy.com/course/operations-management-fundamentals/,,,,,,,,,,,,,
"IT Management Fundamentals - From IT Tech to IT Manager
The knowledge and expertise you need to know to become an IT <strong>manager</strong> and develop those skillsRating: 4.7 out of 5789 reviews5 total hours48 lecturesAll LevelsCurrent price: ₹549Original price: ₹2,799",https://www.udemy.com/course/techtomanager/,,,,,,,,,,,,,
